Date,Open,High,Low,Close,Adj Close,Volume
2017-12-13,0.133739,0.141854,0.122368,0.134281,0.134281,61575000
2017-12-14,0.133667,0.240753,0.131843,0.240753,0.240753,309307008
2017-12-15,0.233209,0.233209,0.187032,0.213467,0.213467,207311008
2017-12-16,0.212875,0.447192,0.204233,0.404665,0.404665,581052032
2017-12-17,0.386775,0.592417,0.378013,0.513011,0.513011,628142976
2017-12-18,0.511939,0.526496,0.467403,0.518198,0.518198,253463008
2017-12-19,0.520268,0.589589,0.501083,0.531273,0.531273,279631008
2017-12-20,0.533705,0.533705,0.441621,0.486151,0.486151,182924000
2017-12-21,0.490049,0.523619,0.456527,0.477851,0.477851,162926000
2017-12-22,0.478974,0.478974,0.293641,0.407150,0.407150,150972992
2017-12-23,0.414420,0.450368,0.392567,0.414027,0.414027,88865000
2017-12-24,0.416661,0.416661,0.347039,0.390029,0.390029,67372304
2017-12-25,0.392330,0.439700,0.362807,0.416363,0.416363,122194000
2017-12-26,0.413573,0.430086,0.405608,0.428465,0.428465,94896000
2017-12-27,0.427107,0.430827,0.401098,0.414176,0.414176,82067504
2017-12-28,0.412020,0.418934,0.367887,0.407701,0.407701,82263800
2017-12-29,0.410457,0.556879,0.403945,0.529299,0.529299,266403008
2017-12-30,0.528316,0.777385,0.471556,0.639243,0.639243,645155968
2017-12-31,0.642581,0.754446,0.642297,0.719695,0.719695,305947008
